Open Price,Low Price,High Price,Close Price,Change Amount,Change Percent,Gregorian Date,Persian Date
32760,32590,32960,32950,130,0.4%,2014/04/28,1393/02/08
33280,32750,33390,32820,530,1.61%,2014/04/27,1393/02/07
32780,32780,33600,33350,870,2.68%,2014/04/26,1393/02/06
32580,32350,32630,32480,60,0.18%,2014/04/24,1393/02/04
32730,32300,32900,32540,110,0.34%,2014/04/23,1393/02/03
33200,32630,33470,32650,510,1.56%,2014/04/22,1393/02/02
32490,32490,33160,33160,760,2.35%,2014/04/21,1393/02/01
32080,31950,32400,32400,310,0.97%,2014/04/20,1393/01/31
31820,31820,32170,32090,360,1.13%,2014/04/19,1393/01/30
31720,31670,31740,31730,20,0.06%,2014/04/17,1393/01/28
31570,31540,31780,31710,150,0.48%,2014/04/16,1393/01/27
31840,31560,32000,31560,240,0.76%,2014/04/15,1393/01/26
31230,31230,31800,31800,500,1.6%,2014/04/14,1393/01/25
31240,31180,31380,31300,90,0.29%,2014/04/13,1393/01/24
31150,31030,31280,31210,420,1.36%,2014/04/12,1393/01/23
30800,30790,30810,30790,20,0.06%,2014/04/10,1393/01/21
30820,30720,30900,30810,10,0.03%,2014/04/09,1393/01/20
30960,30790,31160,30800,100,0.32%,2014/04/08,1393/01/19
30570,30540,30900,30900,320,1.05%,2014/04/07,1393/01/18
30410,30370,30650,30580,150,0.49%,2014/04/06,1393/01/17
30490,30260,30490,30430,200,0.66%,2014/04/05,1393/01/16
30630,30600,30640,30630,10,0.03%,2014/03/31,1393/01/11
30500,30500,30650,30640,150,0.49%,2014/03/30,1393/01/10
30480,30410,30500,30490,80,0.26%,2014/03/29,1393/01/09
30570,30570,30570,30570,10,0.03%,2014/03/27,1393/01/07
30560,30560,30690,30580,80,0.26%,2014/03/26,1393/01/06
30400,30350,30530,30500,330,1.09%,2014/03/25,1393/01/05
30100,30100,30200,30170,30,0.1%,2014/03/19,1392/12/28
30060,30030,30150,30140,140,0.47%,2014/03/18,1392/12/27
30000,29950,30140,30000,40,0.13%,2014/03/17,1392/12/26
30190,29960,30190,29960,240,0.8%,2014/03/16,1392/12/25
30060,29800,30250,30200,240,0.79%,2014/03/15,1392/12/24
30390,30390,30500,30440,80,0.26%,2014/03/13,1392/12/22
30400,30290,30430,30360,10,0.03%,2014/03/12,1392/12/21
30560,30330,30640,30370,180,0.59%,2014/03/11,1392/12/20
30750,30450,30910,30550,160,0.52%,2014/03/10,1392/12/19
30430,30360,30790,30710,270,0.89%,2014/03/09,1392/12/18
29970,29970,30440,30440,20,0.07%,2014/03/08,1392/12/17
30470,30460,30510,30460,30,0.1%,2014/03/06,1392/12/15
30500,30430,30530,30490,30,0.1%,2014/03/05,1392/12/14
30620,30500,30620,30520,120,0.39%,2014/03/04,1392/12/13
31000,30500,31140,30640,430,1.4%,2014/03/03,1392/12/12
30660,30630,31270,31070,480,1.57%,2014/03/02,1392/12/11
30430,30310,30600,30590,490,1.63%,2014/03/01,1392/12/10
30120,30060,30120,30100,10,0.03%,2014/02/27,1392/12/08
29890,29860,30090,30090,210,0.7%,2014/02/26,1392/12/07
29890,29840,29960,29880,20,0.07%,2014/02/25,1392/12/06
29860,29860,30150,29900,60,0.2%,2014/02/24,1392/12/05
29580,29580,29850,29840,240,0.81%,2014/02/23,1392/12/04
29580,29560,29620,29600,100,0.34%,2014/02/22,1392/12/03
29520,29500,29520,29500,30,0.1%,2014/02/20,1392/12/01
29500,29500,29530,29530,10,0.03%,2014/02/19,1392/11/30
29500,29480,29540,29520,-,-,2014/02/18,1392/11/29
29540,29500,29570,29520,-,-,2014/02/17,1392/11/28
29500,29440,29530,29520,40,0.14%,2014/02/16,1392/11/27
29570,29480,29570,29480,50,0.17%,2014/02/15,1392/11/26
29530,29530,29550,29530,10,0.03%,2014/02/13,1392/11/24
29550,29480,29550,29520,20,0.07%,2014/02/12,1392/11/23
29500,29500,29510,29500,10,0.03%,2014/02/10,1392/11/21
29450,29420,29520,29510,50,0.17%,2014/02/09,1392/11/20
29530,29430,29540,29460,140,0.48%,2014/02/08,1392/11/19
29620,29580,29630,29600,10,0.03%,2014/02/06,1392/11/17
29500,29490,29600,29590,80,0.27%,2014/02/05,1392/11/16
29460,29460,29510,29510,40,0.14%,2014/02/04,1392/11/15
29520,29460,29530,29470,70,0.24%,2014/02/03,1392/11/14
29460,29460,29580,29540,80,0.27%,2014/02/02,1392/11/13
29410,29400,29480,29460,80,0.27%,2014/02/01,1392/11/12
29340,29330,29400,29380,30,0.1%,2014/01/30,1392/11/10
